W0923 21:31:59.391581       1 logging.go:55] [core] [Channel #227 SubChannel #228] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0923 21:31:59.411760       1 logging.go:55] [core] [Channel #231 SubChannel #232] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0923 21:31:59.419645       1 logging.go:55] [core] [Channel #235 SubChannel #236] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0923 21:31:59.432951       1 logging.go:55] [core] [Channel #239 SubChannel #240] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
W0923 21:31:59.446829       1 logging.go:55] [core] [Channel #243 SubChannel #244] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0923 21:31:59.468341       1 logging.go:55] [core] [Channel #247 SubChannel #248] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: authentication handshake failed: context canceled"
W0923 21:31:59.502151       1 logging.go:55] [core] [Channel #251 SubChannel #252] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0923 21:31:59.515323       1 logging.go:55] [core] [Channel #255 SubChannel #256] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0923 21:31:59.529209       1 logging.go:55] [core] [Channel #259 SubChannel #260] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
W0923 21:31:59.543094       1 logging.go:55] [core] [Channel #263 SubChannel #264] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
I0923 21:31:59.567011       1 handler.go:304] Adding GroupVersion authentication.k8s.io v1 to ResourceManager
W0923 21:31:59.567065       1 genericapiserver.go:798] Skipping API authentication.k8s.io/v1beta1 because it has no resources.
W0923 21:31:59.567077       1 genericapiserver.go:798] Skipping API authentication.k8s.io/v1alpha1 because it has no resources.
I0923 21:31:59.568091       1 handler.go:304] Adding GroupVersion authorization.k8s.io v1 to ResourceManager
W0923 21:31:59.568113       1 genericapiserver.go:798] Skipping API authorization.k8s.io/v1beta1 because it has no resources.
I0923 21:31:59.569691       1 handler.go:304] Adding GroupVersion autoscaling v2 to ResourceManager
I0923 21:31:59.570781       1 handler.go:304] Adding GroupVersion autoscaling v1 to ResourceManager
I0923 21:31:59.572640       1 handler.go:304] Adding GroupVersion batch v1 to ResourceManager
W0923 21:31:59.572727       1 genericapiserver.go:798] Skipping API batch/v1beta1 because it has no resources.
I0923 21:31:59.574100       1 handler.go:304] Adding GroupVersion certificates.k8s.io v1 to ResourceManager
W0923 21:31:59.574236       1 genericapiserver.go:798] Skipping API certificates.k8s.io/v1beta1 because it has no resources.
W0923 21:31:59.574336       1 genericapiserver.go:798] Skipping API certificates.k8s.io/v1alpha1 because it has no resources.
I0923 21:31:59.575490       1 handler.go:304] Adding GroupVersion coordination.k8s.io v1 to ResourceManager
W0923 21:31:59.575516       1 genericapiserver.go:798] Skipping API coordination.k8s.io/v1beta1 because it has no resources.
W0923 21:31:59.575526       1 genericapiserver.go:798] Skipping API coordination.k8s.io/v1alpha2 because it has no resources.
I0923 21:31:59.576505       1 handler.go:304] Adding GroupVersion discovery.k8s.io v1 to ResourceManager
W0923 21:31:59.576531       1 genericapiserver.go:798] Skipping API discovery.k8s.io/v1beta1 because it has no resources.
I0923 21:31:59.580074       1 handler.go:304] Adding GroupVersion networking.k8s.io v1 to ResourceManager
W0923 21:31:59.580111       1 genericapiserver.go:798] Skipping API networking.k8s.io/v1beta1 because it has no resources.
I0923 21:31:59.580883       1 handler.go:304] Adding GroupVersion node.k8s.io v1 to ResourceManager
W0923 21:31:59.580910       1 genericapiserver.go:798] Skipping API node.k8s.io/v1beta1 because it has no resources.
W0923 21:31:59.580918       1 genericapiserver.go:798] Skipping API node.k8s.io/v1alpha1 because it has no resources.
I0923 21:31:59.582264       1 handler.go:304] Adding GroupVersion policy v1 to ResourceManager
W0923 21:31:59.582296       1 genericapiserver.go:798] Skipping API policy/v1beta1 because it has no resources.
I0923 21:31:59.584795       1 handler.go:304] Adding GroupVersion rbac.authorization.k8s.io v1 to ResourceManager
W0923 21:31:59.584830       1 genericapiserver.go:798] Skipping API rbac.authorization.k8s.io/v1beta1 because it has no resources.
W0923 21:31:59.584841       1 genericapiserver.go:798] Skipping API rbac.authorization.k8s.io/v1alpha1 because it has no resources.
I0923 21:31:59.585600       1 handler.go:304] Adding GroupVersion scheduling.k8s.io v1 to ResourceManager
W0923 21:31:59.585628       1 genericapiserver.go:798] Skipping API scheduling.k8s.io/v1beta1 because it has no resources.
W0923 21:31:59.585636       1 genericapiserver.go:798] Skipping API scheduling.k8s.io/v1alpha2 because it has no resources.
I0923 21:31:59.589325       1 handler.go:304] Adding GroupVersion storage.k8s.io v1 to ResourceManager
W0923 21:31:59.589370       1 genericapiserver.go:798] Skipping API storage.k8s.io/v1beta1 because it has no resources.
W0923 21:31:59.589378       1 genericapiserver.go:798] Skipping API storage.k8s.io/v1alpha1 because it has no resources.
I0923 21:31:59.591270       1 handler.go:304] Adding GroupVersion flowcontrol.apiserver.k8s.io v1 to ResourceManager
W0923 21:31:59.591312       1 genericapiserver.go:798] Skipping API flowcontrol.apiserver.k8s.io/v1beta3 because it has no resources.
W0923 21:31:59.591321       1 genericapiserver.go:798] Skipping API flowcontrol.apiserver.k8s.io/v1beta2 because it has no resources.
W0923 21:31:59.591327       1 genericapiserver.go:798] Skipping API flowcontrol.apiserver.k8s.io/v1beta1 because it has no resources.
I0923 21:31:59.596956       1 handler.go:304] Adding GroupVersion apps v1 to ResourceManager
W0923 21:31:59.596996       1 genericapiserver.go:798] Skipping API apps/v1beta2 because it has no resources.
W0923 21:31:59.597006       1 genericapiserver.go:798] Skipping API apps/v1beta1 because it has no resources.
I0923 21:31:59.601732       1 handler.go:304] Adding GroupVersion admissionregistration.k8s.io v1 to ResourceManager
W0923 21:31:59.601792       1 genericapiserver.go:798] Skipping API admissionregistration.k8s.io/v1beta1 because it has no resources.
W0923 21:31:59.601808       1 genericapiserver.go:798] Skipping API admissionregistration.k8s.io/v1alpha1 because it has no resources.
I0923 21:31:59.602774       1 handler.go:304] Adding GroupVersion events.k8s.io v1 to ResourceManager
W0923 21:31:59.602808       1 genericapiserver.go:798] Skipping API events.k8s.io/v1beta1 because it has no resources.
I0923 21:31:59.605731       1 handler.go:304] Adding GroupVersion resource.k8s.io v1 to ResourceManager
W0923 21:31:59.605805       1 genericapiserver.go:798] Skipping API resource.k8s.io/v1beta2 because it has no resources.
W0923 21:31:59.605818       1 genericapiserver.go:798] Skipping API resource.k8s.io/v1beta1 because it has no resources.
W0923 21:31:59.605823       1 genericapiserver.go:798] Skipping API resource.k8s.io/v1alpha3 because it has no resources.
W0923 21:31:59.611389       1 logging.go:55] [core] [Channel #267 SubChannel #268] grpc: addrConn.createTransport failed to connect to {Addr: "127.0.0.1:2379", ServerName: "127.0.0.1:2379", }. Err: connection error: desc = "transport: Error while dialing: dial tcp 127.0.0.1:2379: operation was canceled"
I0923 21:31:59.624763       1 handler.go:304] Adding GroupVersion apiregistration.k8s.io v1 to ResourceManager
W0923 21:31:59.624835       1 genericapiserver.go:798] Skipping API apiregistration.k8s.io/v1beta1 because it has no resources.
I0923 21:32:00.575226       1 dynamic_cafile_content.go:161] "Starting controller" name="request-header::/etc/kubernetes/pki/front-proxy-ca.crt"
I0923 21:32:00.575690       1 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
I0923 21:32:00.576761       1 dynamic_serving_content.go:135] "Starting controller" name="serving-cert::/etc/kubernetes/pki/apiserver.crt::/etc/kubernetes/pki/apiserver.key"
I0923 21:32:00.576655       1 secure_serving.go:214] Serving securely on [::]:6443
I0923 21:32:00.578008       1 tlsconfig.go:243] "Starting DynamicServingCertificateController"
I0923 21:32:00.578374       1 controller.go:87] "Starting OpenAPI AggregationController"
I0923 21:32:00.580236       1 system_namespaces_controller.go:66] Starting system namespaces controller
I0923 21:32:00.580565       1 dynamic_serving_content.go:135] "Starting controller" name="aggregator-proxy-cert::/etc/kubernetes/pki/front-proxy-client.crt::/etc/kubernetes/pki/front-proxy-client.key"
I0923 21:32:00.581058       1 local_available_controller.go:156] Starting LocalAvailability controller
I0923 21:32:00.581238       1 cache.go:32] Waiting for caches to sync for LocalAvailability controller
I0923 21:32:00.581430       1 remote_available_controller.go:434] Starting RemoteAvailability controller
I0923 21:32:00.581603       1 cache.go:32] Waiting for caches to sync for RemoteAvailability controller
I0923 21:32:00.581986       1 controller.go:127] "Starting legacy_token_tracking_controller"
I0923 21:32:00.582250       1 shared_informer.go:402] "Waiting for caches to sync"
I0923 21:32:00.586570       1 apiservice_controller.go:100] Starting APIServiceRegistrationController
I0923 21:32:00.587329       1 cache.go:32] Waiting for caches to sync for APIServiceRegistrationController controller
I0923 21:32:00.587565       1 aggregator.go:185] waiting for initial CRD sync...
I0923 21:32:00.587932       1 customresource_discovery_controller.go:294] Starting DiscoveryController
I0923 21:32:00.588368       1 repairip.go:210] Starting ipallocator-repair-controller
I0923 21:32:00.588641       1 shared_informer.go:381] "Waiting for caches to sync" controller="ipallocator-repair-controller"
I0923 21:32:00.589218       1 storage_readiness_hook.go:70] Storage is ready for all registered resources
I0923 21:32:00.589418       1 controller.go:89] "Starting OpenAPI V3 AggregationController"
I0923 21:32:00.589963       1 dynamic_cafile_content.go:161] "Starting controller" name="client-ca-bundle::/etc/kubernetes/pki/ca.crt"
