Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.748186   13623 kubelet_node_status.go:396] "Error getting the current node from lister" err="node \"ip-172-31-10-147\" not found"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.748771   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.819227   13623 kubelet.go:2646] "Skipping pod synchronization" err="container runtime status check may not have completed yet"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.846542   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.848254   13623 kubelet_node_status.go:396] "Error getting the current node from lister" err="node \"ip-172-31-10-147\" not found"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.893946   13623 cpu_manager.go:235] "Starting" policy="none"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.893970   13623 cpu_manager.go:236] "Reconciling" reconcilePeriod="10s"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.894010   13623 state_mem.go:45] "Initialized" logger="CPUManager state checkpoint.CPUManager state memory"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895063   13623 state_mem.go:123] "Updated default CPUSet" logger="CPUManager state checkpoint.CPUManager state memory" cpuSet=""
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895162   13623 state_mem.go:141] "Updated CPUSet assignments" logger="CPUManager state checkpoint.CPUManager state memory" assignments={}
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895196   13623 policy_none.go:50] "Start"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895416   13623 memory_manager.go:190] "Starting memorymanager" policy="None"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.895444   13623 state_mem.go:40] "Initializing new in-memory state store" logger="Memory Manager state checkpoint"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.896332   13623 state_mem.go:112] "Updated machine memory state" logger="Memory Manager state checkpoint"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.896369   13623 policy_none.go:44] "Start"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.906749   13623 manager.go:525] "Failed to read data from checkpoint" err="checkpoint is not found" checkpoint="kubelet_internal_checkpoint"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.907423   13623 eviction_manager.go:194] "Eviction manager: starting control loop"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.907444   13623 container_log_manager.go:146] "Initializing container log rotate workers" workers=1 monitorPeriod="10s"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: I0923 21:36:06.908225   13623 plugin_manager.go:121] "Starting Kubelet Plugin Manager"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.914325   13623 eviction_manager.go:272] "eviction manager: failed to check if we have separate container filesystem. Ignoring." err="no imagefs label for configured runtime"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.914446   13623 eviction_manager.go:297] "Eviction manager: failed to get summary stats" err="failed to get node info: node \"ip-172-31-10-147\" not found"
Sep 23 21:36:06 ip-172-31-10-147 kubelet[13623]: E0923 21:36:06.946592   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: I0923 21:36:07.010041   13623 kubelet_node_status.go:75] "Attempting to register node" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.025860   13623 kubelet.go:3495] "No need to create a mirror pod, since failed to get node info from the cluster" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.027677   13623 kubelet.go:3495] "No need to create a mirror pod, since failed to get node info from the cluster" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.030878   13623 kubelet.go:3495] "No need to create a mirror pod, since failed to get node info from the cluster" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.032319   13623 kubelet.go:3495] "No need to create a mirror pod, since failed to get node info from the cluster" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.046771   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.147189   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.246594   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.347170   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.446637   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.547369   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.647450   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.747145   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
Sep 23 21:36:07 ip-172-31-10-147 kubelet[13623]: E0923 21:36:07.846814   13623 kubelet.go:3516] "Unable to register mirror pod because node is not registered yet" err="node \"ip-172-31-10-147\" not found" node="ip-172-31-10-147"
