LAST SEEN   TYPE      REASON              OBJECT                                MESSAGE
3m2s        Normal    Pulled              pod/sample-app-v1-67cfb7b77-rg9qt     Container image "nginx:alpine" already present on machine and can be accessed by the pod
3m2s        Normal    Started             pod/sample-app-v1-67cfb7b77-pdv2z     Container started
2m58s       Warning   Unhealthy           pod/sample-app-v1-67cfb7b77-k98ch     Readiness probe failed: Get "http://10.244.0.10:80/": dial tcp 10.244.0.10:80: connect: connection refused
2m58s       Warning   Unhealthy           pod/sample-app-v1-67cfb7b77-9kmjc     Readiness probe failed: Get "http://10.244.0.12:80/": dial tcp 10.244.0.12:80: connect: connection refused
2m58s       Warning   Unhealthy           pod/sample-app-v1-67cfb7b77-2zrfm     Readiness probe failed: Get "http://10.244.0.11:80/": dial tcp 10.244.0.11:80: connect: connection refused
2m45s       Normal    Killing             pod/sample-app-v1-67cfb7b77-rg9qt     Stopping container web-server
2m45s       Normal    ScalingReplicaSet   deployment/sample-app-v1              Scaled down replica set sample-app-v1-67cfb7b77 from 9 to 3
2m44s       Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    Deleted pod: sample-app-v1-67cfb7b77-9kmjc
2m44s       Normal    Killing             pod/sample-app-v1-67cfb7b77-9kmjc     Stopping container web-server
2m45s       Normal    Killing             pod/sample-app-v1-67cfb7b77-9c4pn     Stopping container web-server
2m45s       Normal    Killing             pod/sample-app-v1-67cfb7b77-k98ch     Stopping container web-server
2m45s       Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    Deleted pod: sample-app-v1-67cfb7b77-rg9qt
2m44s       Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    Deleted pod: sample-app-v1-67cfb7b77-k98ch
2m44s       Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    Deleted pod: sample-app-v1-67cfb7b77-pdv2z
2m44s       Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    Deleted pod: sample-app-v1-67cfb7b77-9c4pn
2m44s       Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    Deleted pod: sample-app-v1-67cfb7b77-2zrfm
2m44s       Normal    Killing             pod/sample-app-v1-67cfb7b77-2zrfm     Stopping container web-server
2m44s       Normal    Killing             pod/sample-app-v1-67cfb7b77-pdv2z     Stopping container web-server
2m32s       Normal    Scheduled           pod/sample-app-v3-74c96d599b-757f2    Successfully assigned deployment-strategies/sample-app-v3-74c96d599b-757f2 to minikube
2m32s       Normal    ScalingReplicaSet   deployment/sample-app-v1              Scaled down replica set sample-app-v1-67cfb7b77 from 3 to 2
2m32s       Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    Deleted pod: sample-app-v1-67cfb7b77-ndvc9
2m32s       Normal    SuccessfulCreate    replicaset/sample-app-v3-74c96d599b   Created pod: sample-app-v3-74c96d599b-757f2
2m32s       Normal    Killing             pod/sample-app-v1-67cfb7b77-ndvc9     Stopping container web-server
2m32s       Normal    ScalingReplicaSet   deployment/sample-app-v3              Scaled up replica set sample-app-v3-74c96d599b from 1 to 2
2m31s       Normal    Started             pod/sample-app-v3-74c96d599b-757f2    Container started
2m31s       Normal    Created             pod/sample-app-v3-74c96d599b-757f2    Container created
2m31s       Normal    Pulled              pod/sample-app-v3-74c96d599b-757f2    Container image "nginx:alpine" already present on machine and can be accessed by the pod
2m15s       Normal    SuccessfulCreate    replicaset/sample-app-v3-74c96d599b   Created pod: sample-app-v3-74c96d599b-znq6g
2m15s       Normal    Scheduled           pod/sample-app-v3-74c96d599b-znq6g    Successfully assigned deployment-strategies/sample-app-v3-74c96d599b-znq6g to minikube
2m15s       Normal    ScalingReplicaSet   deployment/sample-app-v3              Scaled up replica set sample-app-v3-74c96d599b from 2 to 3
2m14s       Normal    Created             pod/sample-app-v3-74c96d599b-znq6g    Container created
2m14s       Normal    Started             pod/sample-app-v3-74c96d599b-znq6g    Container started
2m14s       Normal    Pulled              pod/sample-app-v3-74c96d599b-znq6g    Container image "nginx:alpine" already present on machine and can be accessed by the pod
2m8s        Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    Deleted pod: sample-app-v1-67cfb7b77-5hcj6
2m8s        Normal    ScalingReplicaSet   deployment/sample-app-v1              Scaled down replica set sample-app-v1-67cfb7b77 from 2 to 0
2m8s        Normal    Killing             pod/sample-app-v1-67cfb7b77-5hcj6     Stopping container web-server
2m8s        Normal    Killing             pod/sample-app-v1-67cfb7b77-7qt59     Stopping container web-server
2m8s        Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    Deleted pod: sample-app-v1-67cfb7b77-7qt59
119s        Normal    Scheduled           pod/sample-app-v1-67cfb7b77-v8m7c     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-v8m7c to minikube
119s        Normal    SuccessfulCreate    replicaset/sample-app-v1-67cfb7b77    (combined from similar events): Created pod: sample-app-v1-67cfb7b77-r7dft
119s        Normal    Scheduled           pod/sample-app-v1-67cfb7b77-bngpq     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-bngpq to minikube
118s        Normal    Pulled              pod/sample-app-v1-67cfb7b77-r7dft     Container image "nginx:alpine" already present on machine and can be accessed by the pod
118s        Normal    Pulled              pod/sample-app-v1-67cfb7b77-bngpq     Container image "nginx:alpine" already present on machine and can be accessed by the pod
118s        Normal    Created             pod/sample-app-v1-67cfb7b77-bngpq     Container created
118s        Normal    Pulled              pod/sample-app-v1-67cfb7b77-v8m7c     Container image "nginx:alpine" already present on machine and can be accessed by the pod
118s        Normal    Created             pod/sample-app-v1-67cfb7b77-v8m7c     Container created
118s        Normal    Created             pod/sample-app-v1-67cfb7b77-r7dft     Container created
119s        Normal    Scheduled           pod/sample-app-v1-67cfb7b77-r7dft     Successfully assigned deployment-strategies/sample-app-v1-67cfb7b77-r7dft to minikube
117s        Normal    Started             pod/sample-app-v1-67cfb7b77-r7dft     Container started
117s        Normal    Started             pod/sample-app-v1-67cfb7b77-v8m7c     Container started
117s        Normal    Started             pod/sample-app-v1-67cfb7b77-bngpq     Container started
112s        Normal    ScalingReplicaSet   deployment/sample-app-v3              Scaled down replica set sample-app-v3-74c96d599b from 3 to 0
112s        Normal    SuccessfulDelete    replicaset/sample-app-v3-74c96d599b   Deleted pod: sample-app-v3-74c96d599b-6nztn
112s        Normal    Killing             pod/sample-app-v3-74c96d599b-6nztn    Stopping container web-server
112s        Normal    Killing             pod/sample-app-v3-74c96d599b-znq6g    Stopping container web-server
112s        Normal    SuccessfulDelete    replicaset/sample-app-v3-74c96d599b   Deleted pod: sample-app-v3-74c96d599b-757f2
112s        Normal    SuccessfulDelete    replicaset/sample-app-v3-74c96d599b   Deleted pod: sample-app-v3-74c96d599b-znq6g
112s        Normal    Killing             pod/sample-app-v3-74c96d599b-757f2    Stopping container web-server
104s        Normal    Scheduled           pod/sample-app-v3-74c96d599b-xbvzk    Successfully assigned deployment-strategies/sample-app-v3-74c96d599b-xbvzk to minikube
104s        Normal    SuccessfulCreate    replicaset/sample-app-v3-74c96d599b   Created pod: sample-app-v3-74c96d599b-6pvj8
104s        Normal    SuccessfulCreate    replicaset/sample-app-v3-74c96d599b   Created pod: sample-app-v3-74c96d599b-xbvzk
104s        Normal    SuccessfulCreate    replicaset/sample-app-v3-74c96d599b   Created pod: sample-app-v3-74c96d599b-bn9cm
104s        Normal    ScalingReplicaSet   deployment/sample-app-v3              Scaled up replica set sample-app-v3-74c96d599b from 0 to 3
104s        Normal    Scheduled           pod/sample-app-v3-74c96d599b-6pvj8    Successfully assigned deployment-strategies/sample-app-v3-74c96d599b-6pvj8 to minikube
104s        Normal    Scheduled           pod/sample-app-v3-74c96d599b-bn9cm    Successfully assigned deployment-strategies/sample-app-v3-74c96d599b-bn9cm to minikube
103s        Normal    Created             pod/sample-app-v3-74c96d599b-xbvzk    Container created
103s        Normal    Pulled              pod/sample-app-v3-74c96d599b-bn9cm    Container image "nginx:alpine" already present on machine and can be accessed by the pod
103s        Normal    Started             pod/sample-app-v3-74c96d599b-xbvzk    Container started
103s        Normal    Pulled              pod/sample-app-v3-74c96d599b-6pvj8    Container image "nginx:alpine" already present on machine and can be accessed by the pod
103s        Normal    Pulled              pod/sample-app-v3-74c96d599b-xbvzk    Container image "nginx:alpine" already present on machine and can be accessed by the pod
103s        Normal    Started             pod/sample-app-v3-74c96d599b-bn9cm    Container started
103s        Normal    Created             pod/sample-app-v3-74c96d599b-bn9cm    Container created
103s        Normal    Created             pod/sample-app-v3-74c96d599b-6pvj8    Container created
103s        Normal    Started             pod/sample-app-v3-74c96d599b-6pvj8    Container started
101s        Warning   Unhealthy           pod/sample-app-v3-74c96d599b-6pvj8    Readiness probe failed: Get "http://10.244.0.22:80/": dial tcp 10.244.0.22:80: connect: connection refused
96s         Normal    ScalingReplicaSet   deployment/sample-app-v1              Scaled down replica set sample-app-v1-67cfb7b77 from 3 to 0
95s         Normal    SuccessfulDelete    replicaset/sample-app-v1-67cfb7b77    (combined from similar events): Deleted pod: sample-app-v1-67cfb7b77-r7dft
96s         Normal    Killing             pod/sample-app-v1-67cfb7b77-bngpq     Stopping container web-server
96s         Normal    Killing             pod/sample-app-v1-67cfb7b77-r7dft     Stopping container web-server
96s         Normal    Killing             pod/sample-app-v1-67cfb7b77-v8m7c     Stopping container web-server
